Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,checkpoint-w6lf,checkpoint-hoqr,checkpoint-miih,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Diagram Box Rows,Diagram Box Require Response,TextTypes,ToetsTextArea,"# Xof6Trials

Your body text here."
93,1673337509534,10/01/2023 07:58:29,1673337546466,1,10/01/2023 08:59:06,89483,9,task-axm2,,26286951,BLIND,7759618,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 93.0.0.0,1366x768,1325x696,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,21,1,1,RestudyDecision,script,force_advance,2963.761000000173,,,,,0,1,0,,,,3,,RestudyDecisionText6,,,,,,
94,1673337510117,10/01/2023 07:58:30,1673337547168,1,10/01/2023 08:59:07,89483,9,task-axm2,,26286951,BLIND,7759618,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 93.0.0.0,1366x768,1325x696,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,22,1,1,JoL,Four,response_button_text,680.5,,,4,1,0,1,0,,,,3,,MuziekJoL,,,,,,
95,1673337511777,10/01/2023 07:58:31,1673337548830,1,10/01/2023 08:59:08,89483,9,task-axm2,,26286951,BLIND,7759618,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 93.0.0.0,1366x768,1325x696,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,23,1,1,IntroTest,ContinueButton,continue_button,1642.7000000476837,,,,,0,1,0,,,,3,,MuziekIntroTest,,,,,,
96,1673337565114,10/01/2023 07:59:25,1673337602102,1,10/01/2023 09:00:02,89483,9,task-axm2,,26286951,BLIND,7759618,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 93.0.0.0,1366x768,1325x696,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,24,1,1,Test,buttonA,response_text_area,53258.10000014305,,,"je scoort hoger op de iq test
je word beter in wiskundige vaardigheden
het kan helpen met gedachtes ophalen
het stimuleerd je brein op meerdere plekken",,0,1,0,,,,3,,MuziekTest,,,,,8,
97,1673337565191,10/01/2023 07:59:25,1673337602106,1,10/01/2023 09:00:02,89483,9,task-axm2,,26286951,BLIND,7759618,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 93.0.0.0,1366x768,1325x696,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,24,1,1,Test,buttonB,continue_button,53258.10000014305,,,,,0,1,0,,,,3,,MuziekTest,,,,,8,
98,1673337567015,10/01/2023 07:59:27,1673337604082,1,10/01/2023 09:00:04,89483,9,task-axm2,,26286951,BLIND,7759618,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 93.0.0.0,1366x768,1325x696,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,49,1,1,End,ContinueButton,continue_button,1958.9000000953674,,,,,0,1,0,,,,,,EndDisplay,,,,,,
99,1673337567104,10/01/2023 07:59:27,1673337604086,1,10/01/2023 09:00:04,89483,9,task-axm2,,26286951,BLIND,7759618,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 93.0.0.0,1366x768,1325x696,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,,,END TASK,,,,,1334316,,,,,0,1,0,,,,,,,,,,,,
1,1670935013011,13/12/2022 12:36:53,1670935012190,1,13/12/2022 13:36:52,89483,9,task-axm2,,25912272,BLIND,7658930,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1536x864,1536x746,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,
2,1670935022502,13/12/2022 12:37:02,1670935021809,1,13/12/2022 13:37:01,89483,9,task-axm2,,25912272,BLIND,7658930,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1536x864,1519x746,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,1,1,1,Intro3Texts,NextButton,continue_button,9450.5,,,,,0,1,0,,,,,,IntroTexts,,,,,,
3,1670935100608,13/12/2022 12:38:20,1670935099884,1,13/12/2022 13:38:19,89483,9,task-axm2,,25912272,BLIND,7658930,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1536x864,1519x746,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,42,1,1,Text,advancementZone,continue_button,78014.30000001192,,,,,0,1,0,,,,6,,BotoxText,,,,,,
4,1670935187727,13/12/2022 12:39:47,1670935187027,1,13/12/2022 13:39:47,89483,9,task-axm2,,25912272,BLIND,7658930,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1536x864,1519x746,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,43,1,1,Diagramming,DiagBox3,response_text_area,87076.29999999702,,,rimpels gaan weg,,0,1,0,,,,6,,BotoxDiagramCompletion,,5,,,,
5,1670935188003,13/12/2022 12:39:48,1670935187032,1,13/12/2022 13:39:47,89483,9,task-axm2,,25912272,BLIND,7658930,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1536x864,1519x746,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,43,1,1,Diagramming,DiagBox4,response_text_area,87076.29999999702,,,kan ook verkeerd aflopen,,0,1,0,,,,6,,BotoxDiagramCompletion,,5,,,,
6,1670935188003,13/12/2022 12:39:48,1670935187032,1,13/12/2022 13:39:47,89483,9,task-axm2,,25912272,BLIND,7658930,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1536x864,1519x746,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,43,1,1,Diagramming,DiagBox2,response_text_area,87076.29999999702,,,?,,0,1,0,,,,6,,BotoxDiagramCompletion,,5,,,,
7,1670935188003,13/12/2022 12:39:48,1670935187033,1,13/12/2022 13:39:47,89483,9,task-axm2,,25912272,BLIND,7658930,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1536x864,1519x746,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,43,1,1,Diagramming,DiagBox1,response_text_area,87076.29999999702,,,Spieren gaan minder goed werken,,0,1,0,,,,6,,BotoxDiagramCompletion,,5,,,,
8,1670935188003,13/12/2022 12:39:48,1670935187034,1,13/12/2022 13:39:47,89483,9,task-axm2,,25912272,BLIND,7658930,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1536x864,1519x746,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,43,1,1,Diagramming,Zone1,continue_button,87076.29999999702,,,,,0,1,0,,,,6,,BotoxDiagramCompletion,,5,,,,
9,1670935223188,13/12/2022 12:40:23,1670935222486,1,13/12/2022 13:40:22,89483,9,task-axm2,,25912272,BLIND,7658930,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1536x864,1519x746,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,44,1,1,DiagramStudySS,CueSelection1,response_dropdown,35450.29000000001,,,Ingevuld maar onjuist,,0,1,0,,,,6,,BotoxDiagramStudySS,,,,,,
