Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,checkpoint-w6lf,checkpoint-hoqr,checkpoint-miih,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Diagram Box Rows,Diagram Box Require Response,TextTypes,ToetsTextArea,"# Xof6Trials

Your body text here."
5,1670926602904,13/12/2022 10:16:42,1670926620027,1,13/12/2022 11:17:00,89483,9,task-x2sf,,25906203,BLIND,7657611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x649,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,27,1,1,Diagramming,DiagBox3,response_text_area,103814.30000019073,,,daardoor hoef je niet meer om heel afrika heen,,0,1,0,,,,4,,SuezDiagramCompletion,,5,,,,
6,1670926602904,13/12/2022 10:16:42,1670926620028,1,13/12/2022 11:17:00,89483,9,task-x2sf,,25906203,BLIND,7657611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x649,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,27,1,1,Diagramming,DiagBox4,response_text_area,103814.30000019073,,,en sommige routes waren daardoor 40% korter,,0,1,0,,,,4,,SuezDiagramCompletion,,5,,,,
7,1670926602904,13/12/2022 10:16:42,1670926620029,1,13/12/2022 11:17:00,89483,9,task-x2sf,,25906203,BLIND,7657611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x649,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,27,1,1,Diagramming,DiagBox1,response_text_area,103814.30000019073,,,voreger moest je helemaal om afrika heen met je schip,,0,1,0,,,,4,,SuezDiagramCompletion,,5,,,,
8,1670926602904,13/12/2022 10:16:42,1670926620030,1,13/12/2022 11:17:00,89483,9,task-x2sf,,25906203,BLIND,7657611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x649,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,27,1,1,Diagramming,Zone1,continue_button,103814.30000019073,,,,,0,1,0,,,,4,,SuezDiagramCompletion,,5,,,,
9,1670926604765,13/12/2022 10:16:44,1670926622068,1,13/12/2022 11:17:02,89483,9,task-x2sf,,25906203,BLIND,7657611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x649,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,28,1,1,DiagramStudy,Zone1,continue_button,1882.9000005722046,,,,,0,1,0,,,,4,,SuezDiagramStudy,,,,,,
10,1670926611260,13/12/2022 10:16:51,1670926628529,1,13/12/2022 11:17:08,89483,9,task-x2sf,,25906203,BLIND,7657611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x649,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,29,1,1,RestudyDecision,Selection1,response_dropdown,6433.864000000001,,,Ja,,0,1,0,,,,4,,SuezRestudyDecision,,,,,,
11,1670926611328,13/12/2022 10:16:51,1670926628532,1,13/12/2022 11:17:08,89483,9,task-x2sf,,25906203,BLIND,7657611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x649,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,29,1,1,RestudyDecision,script,force_advance,6433.864000000001,,,,,0,1,0,,,,4,,SuezRestudyDecision,,,,,,
12,1670926613994,13/12/2022 10:16:53,1670926631296,1,13/12/2022 11:17:11,89483,9,task-x2sf,,25906203,BLIND,7657611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x649,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,30,1,1,JoL,Three,response_button_text,2715.5,,,3,1,0,1,0,,,,4,,SuezJoL,,,,,,
13,1670926614986,13/12/2022 10:16:54,1670926632296,1,13/12/2022 11:17:12,89483,9,task-x2sf,,25906203,BLIND,7657611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x649,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,31,1,1,IntroTest,ContinueButton,continue_button,971.9000005722046,,,,,0,1,0,,,,4,,SuezIntroTest,,,,,,
14,1670926695872,13/12/2022 10:18:15,1670926713182,1,13/12/2022 11:18:33,89483,9,task-x2sf,,25906203,BLIND,7657611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x649,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,32,1,1,Test,buttonA,response_text_area,80841.5,,,omdat ze het suez kanaal hadden gemaakt hoefde je niet helemaal meer om afrika heen. daardoor duurde heelveel routes veel minder lang. ook degene tussen jeddah en rotterdam.,,0,1,0,,,,4,,SuezTest,,,,,8,
15,1670926695982,13/12/2022 10:18:15,1670926713185,1,13/12/2022 11:18:33,89483,9,task-x2sf,,25906203,BLIND,7657611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x649,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,32,1,1,Test,buttonB,continue_button,80841.5,,,,,0,1,0,,,,4,,SuezTest,,,,,8,
16,1670926697567,13/12/2022 10:18:17,1670926714874,1,13/12/2022 11:18:34,89483,9,task-x2sf,,25906203,BLIND,7657611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x649,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,9,1,1,Notification,ContinueButton,continue_button,1619.3000001907349,,,,,0,1,0,,,,,,InBetweenScreen,,,,,,"<center><p style=""font-size:30px""><b>1 van 6</b></p></center>"
17,1670926767147,13/12/2022 10:19:27,1670926784450,1,13/12/2022 11:19:44,89483,9,task-x2sf,,25906203,BLIND,7657611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x649,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,42,1,1,Text,advancementZone,continue_button,69520.69999980927,,,,,0,1,0,,,,6,,BotoxText,,,,,,
18,1670926917698,13/12/2022 10:21:57,1670926934956,1,13/12/2022 11:22:14,89483,9,task-x2sf,,25906203,BLIND,7657611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x649,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,43,1,1,Diagramming,DiagBox3,response_text_area,150433,,,doordit wordt je huid glad en zie je er misschien mooier uit,,0,1,0,,,,6,,BotoxDiagramCompletion,,5,,,,
19,1670926917837,13/12/2022 10:21:57,1670926934961,1,13/12/2022 11:22:14,89483,9,task-x2sf,,25906203,BLIND,7657611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x649,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,43,1,1,Diagramming,DiagBox4,response_text_area,150433,,,maar het kan ook ongewenst je gezichts uitdrukking veranderen,,0,1,0,,,,6,,BotoxDiagramCompletion,,5,,,,
20,1670926917837,13/12/2022 10:21:57,1670926934961,1,13/12/2022 11:22:14,89483,9,task-x2sf,,25906203,BLIND,7657611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x649,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,43,1,1,Diagramming,DiagBox2,response_text_area,150433,,,het wordt ook gebruikt voor het uiterlijk van mensen. zodat ze er jonger uitzien.,,0,1,0,,,,6,,BotoxDiagramCompletion,,5,,,,
21,1670926917837,13/12/2022 10:21:57,1670926934961,1,13/12/2022 11:22:14,89483,9,task-x2sf,,25906203,BLIND,7657611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x649,Passed_Trials,Study1.2 - ImmediateDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,ImmediateDiagrammingOnly,ImmediateDiagrammingOnly,43,1,1,Diagramming,DiagBox1,response_text_area,150433,,,het werd veel gebruikt voor mensen die veel kniperde. want het verlamde de spieren en daardoor knipperde je minder vaak,,0,1,0,,,,6,,BotoxDiagramCompletion,,5,,,,
