Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,checkpoint-w6lf,checkpoint-hoqr,checkpoint-miih,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,TextTypes,ShowProgressBar
1,1670925868788,13/12/2022 10:04:28,1670925870280,1,13/12/2022 11:04:30,89483,9,task-5tuu,,25905951,BLIND,7657596,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x657,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1670926059325,13/12/2022 10:07:39,1670926060784,1,13/12/2022 11:07:40,89483,9,task-5tuu,,25905951,BLIND,7657596,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x657,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,AliceImmediateWithCueSelectionVideo,1,1,1,Video,Zone1,content_video,190080.20000000298,,,,,0,1,0,,,,,,AliceImmediateWithCueSelectionVideo,,,
3,1670926059429,13/12/2022 10:07:39,1670926060789,1,13/12/2022 11:07:40,89483,9,task-5tuu,,25905951,BLIND,7657596,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x657,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,,,END TASK,,,,,190509,,,,,0,1,0,,,,,,,,,
1,1670925922540,13/12/2022 10:05:22,1670925922079,1,13/12/2022 11:05:22,89483,9,task-5tuu,,25905973,BLIND,7657606,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x714,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1670926123842,13/12/2022 10:08:43,1670926122565,1,13/12/2022 11:08:42,89483,9,task-5tuu,,25905973,BLIND,7657606,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x714,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,AliceImmediateWithCueSelectionVideo,1,1,1,Video,Zone1,content_video,199195.2000002861,,,,,0,1,0,,,,,,AliceImmediateWithCueSelectionVideo,,,
3,1670926124150,13/12/2022 10:08:44,1670926122574,1,13/12/2022 11:08:42,89483,9,task-5tuu,,25905973,BLIND,7657606,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x714,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,,,END TASK,,,,,200495,,,,,0,1,0,,,,,,,,,
1,1673335827497,10/01/2023 07:30:27,1673335827293,1,10/01/2023 08:30:27,89483,9,task-5tuu,,26286850,BLIND,7759611,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 93.0.0.0,1536x864,1495x715,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1673336018269,10/01/2023 07:33:38,1673336018053,1,10/01/2023 08:33:38,89483,9,task-5tuu,,26286850,BLIND,7759611,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 93.0.0.0,1536x864,1495x715,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,AliceImmediateWithCueSelectionVideo,1,1,1,Video,Zone1,content_video,190100.90000009537,,,,,0,1,0,,,,,,AliceImmediateWithCueSelectionVideo,,,
3,1673336018321,10/01/2023 07:33:38,1673336018057,1,10/01/2023 08:33:38,89483,9,task-5tuu,,26286850,BLIND,7759611,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 93.0.0.0,1536x864,1495x715,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,,,END TASK,,,,,190764,,,,,0,1,0,,,,,,,,,
1,1673335862468,10/01/2023 07:31:02,1673335873274,1,10/01/2023 08:31:13,89483,9,task-5tuu,,26286862,BLIND,7759622,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x625,Passed_Trials,AliceIntroVideos,12,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,AliceImmediateWithCueSelectionVideo,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
