Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,checkpoint-w6lf,checkpoint-hoqr,checkpoint-miih,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Diagram Box Rows,TextTypes,TestTextArea
16,1675419954745,03/02/2023 10:25:54,1675419956334,1,03/02/2023 11:25:56,89483,9,task-ewz2,,26905960,BLIND,7991937,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,6,JoL1,Two,response_button_text,8697.900000000023,,,2,1,0,1,0,,,,,,SportenWithSS,,5,,8
17,1675419957643,03/02/2023 10:25:57,1675419959242,1,03/02/2023 11:25:59,89483,9,task-ewz2,,26905960,BLIND,7991937,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,7,InstructieToets,advancementZone,continue_button,2876.79999999993,,,,,0,1,0,,,,,,SportenWithSS,,5,,8
18,1675420070990,03/02/2023 10:27:50,1675420072579,1,03/02/2023 11:27:52,89483,9,task-ewz2,,26905960,BLIND,7991937,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,8,Test,buttonA,response_text_area,113262.19999999995,,,"Bij het sporten hebben je spieren meer zuurstof nodig, hierdoor moet je sneller ademhalen en moet je hart sneller gaan pompen. hierdoor worden je longen en hart sterker en hierdoor heb je een lagere kans op hart- en longziektes.",,0,1,0,,,,,,SportenWithSS,,5,,8
19,1675420071047,03/02/2023 10:27:51,1675420072586,1,03/02/2023 11:27:52,89483,9,task-ewz2,,26905960,BLIND,7991937,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,8,Test,buttonB,continue_button,113262.19999999995,,,,,0,1,0,,,,,,SportenWithSS,,5,,8
20,1675420072949,03/02/2023 10:27:52,1675420074531,1,03/02/2023 11:27:54,89483,9,task-ewz2,,26905960,BLIND,7991937,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,9,Klaar4Experiment,advancementZone,continue_button,1919.6999999999534,,,,,0,1,0,,,,,,SportenWithSS,,5,,8
21,1675420073029,03/02/2023 10:27:53,1675420074543,1,03/02/2023 11:27:54,89483,9,task-ewz2,,26905960,BLIND,7991937,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,,,END TASK,,,,,316122,,,,,0,1,0,,,,,,,,,,
1,1675419754833,03/02/2023 10:22:34,1675419753997,1,03/02/2023 11:22:33,89483,9,task-ewz2,,26905957,BLIND,7991933,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1675419762860,03/02/2023 10:22:42,1675419762005,1,03/02/2023 11:22:42,89483,9,task-ewz2,,26905957,BLIND,7991933,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,1,Intro,Zone2,continue_button,7690.199999999953,,,,,0,1,0,,,,,,SportenWithSS,,5,,8
3,1675419798646,03/02/2023 10:23:18,1675419797808,1,03/02/2023 11:23:17,89483,9,task-ewz2,,26905957,BLIND,7991933,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,2,Text,advancementZone,continue_button,35762,,,,,0,1,0,,,,,,SportenWithSS,,5,,8
4,1675419845685,03/02/2023 10:24:05,1675419844878,1,03/02/2023 11:24:04,89483,9,task-ewz2,,26905957,BLIND,7991933,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - SportenIsGezondSS,10,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,SportenWithSS,SportenWithSS,1,1,3,DiagramCompletion,DiagBox4,response_text_area,46999.20000000001,,,Je leeft langer,,0,1,0,,,,,,SportenWithSS,,5,,8
