Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,checkpoint-w6lf,checkpoint-hoqr,checkpoint-miih,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,TextTypes,ShowProgressBar
2,1673341347386,10/01/2023 09:02:27,1673341347297,1,10/01/2023 10:02:27,89483,9,task-qcms,,26287678,BLIND,7759919,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x649,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,AliceImmediateWithoutCueSelectionVideo,1,1,1,Video,Zone1,content_video,185387.5,,,,,0,1,0,,,,,,AliceImmediateWithoutCueSelectionVideo,,,
3,1673341347471,10/01/2023 09:02:27,1673341347329,1,10/01/2023 10:02:27,89483,9,task-qcms,,26287678,BLIND,7759919,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x649,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,,,END TASK,,,,,186276,,,,,0,1,0,,,,,,,,,
1,1673341119028,10/01/2023 08:58:39,1673341119404,1,10/01/2023 09:58:39,89483,9,task-qcms,,26287667,BLIND,7759914,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x649,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1673341305733,10/01/2023 09:01:45,1673341306062,1,10/01/2023 10:01:46,89483,9,task-qcms,,26287667,BLIND,7759914,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x649,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,AliceImmediateWithoutCueSelectionVideo,1,1,1,Video,Zone1,content_video,185748.80000001192,,,,,0,1,0,,,,,,AliceImmediateWithoutCueSelectionVideo,,,
3,1673341305804,10/01/2023 09:01:45,1673341306097,1,10/01/2023 10:01:46,89483,9,task-qcms,,26287667,BLIND,7759914,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x649,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,,,END TASK,,,,,186693,,,,,0,1,0,,,,,,,,,
1,1673341076267,10/01/2023 08:57:56,1673341079833,1,10/01/2023 09:57:59,89483,9,task-qcms,,26287656,BLIND,7759922,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x617,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1673341262089,10/01/2023 09:01:02,1673341265651,1,10/01/2023 10:01:05,89483,9,task-qcms,,26287656,BLIND,7759922,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x617,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,AliceImmediateWithoutCueSelectionVideo,1,1,1,Video,Zone1,content_video,185406.20000004768,,,,,0,1,0,,,,,,AliceImmediateWithoutCueSelectionVideo,,,
3,1673341262161,10/01/2023 09:01:02,1673341265667,1,10/01/2023 10:01:05,89483,9,task-qcms,,26287656,BLIND,7759922,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x617,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,,,END TASK,,,,,185834,,,,,0,1,0,,,,,,,,,
1,1673341066195,10/01/2023 08:57:46,1673341065716,1,10/01/2023 09:57:45,89483,9,task-qcms,,26287652,BLIND,7759920,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x617,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1673341251999,10/01/2023 09:00:51,1673341251508,1,10/01/2023 10:00:51,89483,9,task-qcms,,26287652,BLIND,7759920,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x617,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,AliceImmediateWithoutCueSelectionVideo,1,1,1,Video,Zone1,content_video,185314,,,,,0,1,0,,,,,,AliceImmediateWithoutCueSelectionVideo,,,
3,1673341252061,10/01/2023 09:00:52,1673341251515,1,10/01/2023 10:00:51,89483,9,task-qcms,,26287652,BLIND,7759920,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x617,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,,,END TASK,,,,,185798,,,,,0,1,0,,,,,,,,,
1,1673341055996,10/01/2023 08:57:35,1673341058620,1,10/01/2023 09:57:38,89483,9,task-qcms,,26287649,BLIND,7759926,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.76,1366x768,1319x657,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1673341242045,10/01/2023 09:00:42,1673341244681,1,10/01/2023 10:00:44,89483,9,task-qcms,,26287649,BLIND,7759926,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.76,1366x768,1319x657,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,AliceImmediateWithoutCueSelectionVideo,1,1,1,Video,Zone1,content_video,185341.09999999404,,,,,0,1,0,,,,,,AliceImmediateWithoutCueSelectionVideo,,,
3,1673341242133,10/01/2023 09:00:42,1673341244685,1,10/01/2023 10:00:44,89483,9,task-qcms,,26287649,BLIND,7759926,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.76,1366x768,1319x657,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,,,END TASK,,,,,186065,,,,,0,1,0,,,,,,,,,
1,1673341036540,10/01/2023 08:57:16,1673341038480,1,10/01/2023 09:57:18,89483,9,task-qcms,,26287637,BLIND,7759930,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x625,Passed_Trials,AliceIntroVideos,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,AliceImmediateWithoutCueSelectionVideo,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
