Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,checkpoint-w6lf,checkpoint-hoqr,checkpoint-miih,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Diagram Box Rows,Diagram Box Require Response,TextTypes,ToetsTextArea,"# Xof6Trials

Your body text here."
11,1670833700440,12/12/2022 08:28:20,1670833700340,1,12/12/2022 09:28:20,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,13,1,1,RestudyDecision,script,force_advance,7066.2880000000005,,,,,0,1,0,,,,2,,RestudyDecisionText1,,,,,,
12,1670833702703,12/12/2022 08:28:22,1670833702565,1,12/12/2022 09:28:22,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,14,1,1,JoL,Three,response_button_text,2212.4000000000233,,,3,1,0,1,0,,,,2,,BetonJoL,,,,,,
13,1670833704655,12/12/2022 08:28:24,1670833704601,1,12/12/2022 09:28:24,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,15,1,1,IntroTest,ContinueButton,continue_button,2022.1000000000931,,,,,0,1,0,,,,2,,BetonIntroTest,,,,,,
14,1670833885470,12/12/2022 08:31:25,1670833885274,1,12/12/2022 09:31:25,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,16,1,1,Test,buttonA,response_text_area,180658.40000000002,,,"er moet als je met beton wilt bouwen een speciale vergunning nodig die het beton goed keurt.
er moet hierbij goed worden gelet op de centrale verwarming.
als dit niet goed gedaan wordt kan het beton krimpen en dus krimpt het hele gebouw.
de liften komen hierdoor vast te zitten.
dus moeten de liften vaak gerenoveerd worden",,0,1,0,,,,2,,BetonTest,,,,,8,
15,1670833885592,12/12/2022 08:31:25,1670833885276,1,12/12/2022 09:31:25,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,16,1,1,Test,buttonB,continue_button,180658.40000000002,,,,,0,1,0,,,,2,,BetonTest,,,,,8,
16,1670833888017,12/12/2022 08:31:28,1670833888046,1,12/12/2022 09:31:28,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,9,1,1,Notification,ContinueButton,continue_button,2748.899999999907,,,,,0,1,0,,,,,,InBetweenScreen,,,,,,"<center><p style=""font-size:30px""><b>1 van 6</b></p></center>"
17,1670833980079,12/12/2022 08:33:00,1670833960061,1,12/12/2022 09:32:40,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,34,1,1,Text,advancementZone,continue_button,71985.3999999999,,,,,0,1,0,,,,5,,GeldText,,,,,,
18,1670834095718,12/12/2022 08:34:55,1670834065598,1,12/12/2022 09:34:25,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,35,1,1,Diagramming,DiagBox2,response_text_area,105489,,,je went snel aan luxe zoals geld en alcohol,,0,1,0,,,,5,,GeldDiagramCompletion,,5,,,,
19,1670834095718,12/12/2022 08:34:55,1670834065600,1,12/12/2022 09:34:25,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,35,1,1,Diagramming,DiagBox3,response_text_area,105489,,,je wordt minder blij omdat je er aan gewend raakt,,0,1,0,,,,5,,GeldDiagramCompletion,,5,,,,
20,1670834095718,12/12/2022 08:34:55,1670834065601,1,12/12/2022 09:34:25,89483,9,task-cw61,,25868506,BLIND,7649916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x864,Passed_Trials,Study1.2 - ImmediateWithoutCueSelection,5,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,ImmediateWithoutCueSelection,ImmediateWithoutCueSelection,35,1,1,Diagramming,DiagBox4,response_text_area,105489,,,je bent uitijndelijk helemaal niet gellukig,,0,1,0,,,,5,,GeldDiagramCompletion,,5,,,,
