Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,checkpoint-w6lf,checkpoint-hoqr,checkpoint-miih,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Diagram Box Rows,TextTypes,TestTextArea
11,1670926348709,13/12/2022 10:12:28,1670926349992,1,13/12/2022 11:12:29,89483,9,task-as4t,,25906050,BLIND,7657608,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.56,1366x768,1319x657,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,5,RestudyDecision,script,force_advance,11983.580999999976,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
12,1670926353875,13/12/2022 10:12:33,1670926355530,1,13/12/2022 11:12:35,89483,9,task-as4t,,25906050,BLIND,7657608,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.56,1366x768,1319x657,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,6,JoL1,Three,response_button_text,5512.599999904633,,,3,1,0,1,0,,,,,,SportenNoSS,,5,,8
13,1670926361611,13/12/2022 10:12:41,1670926363282,1,13/12/2022 11:12:43,89483,9,task-as4t,,25906050,BLIND,7657608,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.56,1366x768,1319x657,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,7,InstructieToets,advancementZone,continue_button,7732.599999904633,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
14,1670926531300,13/12/2022 10:15:31,1670926532903,1,13/12/2022 11:15:32,89483,9,task-as4t,,25906050,BLIND,7657608,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.56,1366x768,1319x657,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,8,Test,buttonA,response_text_area,169580.80000019073,,,"omdat je meer ademt werken je longen meer en worden ze sterker.
Je hart moet ook meer pompen waardoor het sterker wordt. 
je longen en je hart zijn sterker en hebben dan minder kans op hart- en longziektes. 
Als je minder sport dan raak je snel buiten adem en werken je longen en hart minder goed en raak je sneller ziek.",,0,1,0,,,,,,SportenNoSS,,5,,8
15,1670926531358,13/12/2022 10:15:31,1670926532906,1,13/12/2022 11:15:32,89483,9,task-as4t,,25906050,BLIND,7657608,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.56,1366x768,1319x657,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,8,Test,buttonB,continue_button,169580.80000019073,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
16,1670926534808,13/12/2022 10:15:34,1670926536467,1,13/12/2022 11:15:36,89483,9,task-as4t,,25906050,BLIND,7657608,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.56,1366x768,1319x657,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,9,Klaar4Experiment,advancementZone,continue_button,3550.800000190735,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
17,1670926534882,13/12/2022 10:15:34,1670926536471,1,13/12/2022 11:15:36,89483,9,task-as4t,,25906050,BLIND,7657608,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.56,1366x768,1319x657,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,,,END TASK,,,,,431150,,,,,0,1,0,,,,,,,,,,
1,1670926063105,13/12/2022 10:07:43,1670926063782,1,13/12/2022 11:07:43,89483,9,task-as4t,,25906028,BLIND,7657595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x569,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1670926067813,13/12/2022 10:07:47,1670926068498,1,13/12/2022 11:07:48,89483,9,task-as4t,,25906028,BLIND,7657595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x569,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,1,Intro,Zone2,continue_button,4309.600000023842,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
3,1670926089323,13/12/2022 10:08:09,1670926090019,1,13/12/2022 11:08:10,89483,9,task-as4t,,25906028,BLIND,7657595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x569,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,2,Text,advancementZone,continue_button,21502.399999976158,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
4,1670926194428,13/12/2022 10:09:54,1670926195142,1,13/12/2022 11:09:55,89483,9,task-as4t,,25906028,BLIND,7657595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x569,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,3,Diagram,DiagBox4,response_text_area,105095.60000002384,,,vermindert de kans op hart en long ziekten,,0,1,0,,,,,,SportenNoSS,,5,,8
5,1670926194560,13/12/2022 10:09:54,1670926195144,1,13/12/2022 11:09:55,89483,9,task-as4t,,25906028,BLIND,7657595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x569,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,3,Diagram,DiagBox3,response_text_area,105095.60000002384,,,"hart gaat sneller kloppen, longen doen meer werk",,0,1,0,,,,,,SportenNoSS,,5,,8
6,1670926194560,13/12/2022 10:09:54,1670926195145,1,13/12/2022 11:09:55,89483,9,task-as4t,,25906028,BLIND,7657595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x569,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,3,Diagram,DiagBox2,response_text_area,105095.60000002384,,,tijdens sporten heb je spieren zuurstof nodig,,0,1,0,,,,,,SportenNoSS,,5,,8
7,1670926194560,13/12/2022 10:09:54,1670926195145,1,13/12/2022 11:09:55,89483,9,task-as4t,,25906028,BLIND,7657595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x569,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,3,Diagram,DiagBox1,response_text_area,105095.60000002384,,,geen tijd hebben voor sport is vroeg of laat wel tijd voor ziekte,,0,1,0,,,,,,SportenNoSS,,5,,8
8,1670926194560,13/12/2022 10:09:54,1670926195145,1,13/12/2022 11:09:55,89483,9,task-as4t,,25906028,BLIND,7657595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x569,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,3,Diagram,Zone1,continue_button,105095.60000002384,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
9,1670926215094,13/12/2022 10:10:15,1670926215806,1,13/12/2022 11:10:15,89483,9,task-as4t,,25906028,BLIND,7657595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x569,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,4,Feedback,Zone1,continue_button,20521.5,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
10,1670926219065,13/12/2022 10:10:19,1670926219772,1,13/12/2022 11:10:19,89483,9,task-as4t,,25906028,BLIND,7657595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x569,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,5,RestudyDecision,Selection1,response_dropdown,3949.323000000004,,,Nee,,0,1,0,,,,,,SportenNoSS,,5,,8
11,1670926219161,13/12/2022 10:10:19,1670926219774,1,13/12/2022 11:10:19,89483,9,task-as4t,,25906028,BLIND,7657595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x569,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,5,RestudyDecision,script,force_advance,3949.323000000004,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
12,1670926220539,13/12/2022 10:10:20,1670926221246,1,13/12/2022 11:10:21,89483,9,task-as4t,,25906028,BLIND,7657595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x569,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,6,JoL1,Four,response_button_text,1462,,,4,1,0,1,0,,,,,,SportenNoSS,,5,,8
13,1670926222362,13/12/2022 10:10:22,1670926223072,1,13/12/2022 11:10:23,89483,9,task-as4t,,25906028,BLIND,7657595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x569,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,7,InstructieToets,advancementZone,continue_button,1817.2000000476837,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
14,1670926410674,13/12/2022 10:13:30,1670926411261,1,13/12/2022 11:13:31,89483,9,task-as4t,,25906028,BLIND,7657595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x569,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,8,Test,buttonA,response_text_area,188149.20000004768,,,"bij sporten moet je sneller ademen want spieren hebben zuurstof nodig
longen moeten harder werken
hart moet sneller pompen om bloed rond te krijgen
op lange termijn worden hart en longen sterker hierdoor
dus lagere kans op hart en long ziekten",,0,1,0,,,,,,SportenNoSS,,5,,8
15,1670926410760,13/12/2022 10:13:30,1670926411263,1,13/12/2022 11:13:31,89483,9,task-as4t,,25906028,BLIND,7657595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x569,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,8,Test,buttonB,continue_button,188149.20000004768,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
16,1670926411854,13/12/2022 10:13:31,1670926412569,1,13/12/2022 11:13:32,89483,9,task-as4t,,25906028,BLIND,7657595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x569,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,9,Klaar4Experiment,advancementZone,continue_button,1298.7000000476837,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
17,1670926412284,13/12/2022 10:13:32,1670926412576,1,13/12/2022 11:13:32,89483,9,task-as4t,,25906028,BLIND,7657595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x569,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,,,END TASK,,,,,348794,,,,,0,1,0,,,,,,,,,,
1,1670843901025,12/12/2022 11:18:21,1670843900973,1,12/12/2022 12:18:20,89483,9,task-as4t,,25872495,BLIND,7650826,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x746,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1670843908943,12/12/2022 11:18:28,1670843908924,1,12/12/2022 12:18:28,89483,9,task-as4t,,25872495,BLIND,7650826,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,1,Intro,Zone2,continue_button,7777.100000023842,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
3,1670843974576,12/12/2022 11:19:34,1670843974530,1,12/12/2022 12:19:34,89483,9,task-as4t,,25872495,BLIND,7650826,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,2,Text,advancementZone,continue_button,65588.30000001192,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
4,1670844195537,12/12/2022 11:23:15,1670844195041,1,12/12/2022 12:23:15,89483,9,task-as4t,,25872495,BLIND,7650826,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,3,Diagram,DiagBox4,response_text_area,220479.10000002384,,,Je hebt dan ook een betere gezonheid.,,0,1,0,,,,,,SportenNoSS,,5,,8
5,1670844197656,12/12/2022 11:23:17,1670844195048,1,12/12/2022 12:23:15,89483,9,task-as4t,,25872495,BLIND,7650826,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,Passed_Trials,Study1.2 - SportenIsGezondNoSS,12,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,SportenNoSS,SportenNoSS,1,1,3,Diagram,DiagBox3,response_text_area,220479.10000002384,,,"De longen en het hart hebben veel zuurstof nodig, als je beweegt.",,0,1,0,,,,,,SportenNoSS,,5,,8
