Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,checkpoint-w6lf,checkpoint-hoqr,checkpoint-miih,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Diagram Box Rows,TextTypes,TestTextArea
11,1670833381119,12/12/2022 08:23:01,1670833381651,1,12/12/2022 09:23:01,89483,9,task-cobv,,25868459,BLIND,7649917,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1280x720,1233x601,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,5,RestudyDecision,script,force_advance,7810.3399999999965,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
12,1670833384895,12/12/2022 08:23:04,1670833385502,1,12/12/2022 09:23:05,89483,9,task-cobv,,25868459,BLIND,7649917,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1280x720,1233x601,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,6,JoL1,Four,response_button_text,3838.5,,,4,1,0,1,0,,,,,,SportenNoSS,,5,,8
13,1670833392184,12/12/2022 08:23:12,1670833392802,1,12/12/2022 09:23:12,89483,9,task-cobv,,25868459,BLIND,7649917,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1280x720,1233x601,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,7,InstructieToets,advancementZone,continue_button,7290.9000000059605,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
14,1670833518617,12/12/2022 08:25:18,1670833519224,1,12/12/2022 09:25:19,89483,9,task-cobv,,25868459,BLIND,7649917,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1280x720,1233x601,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,8,Test,buttonA,response_text_area,126388.79999999702,,,"bij sporten moet er meer zuurstof naar de spieren, daarom gaat je hart sneller kloppen en ga je sneller ademen. Hierdoor train je je hart en longen en heb je minder kans op hart- en longziektes.",,0,1,0,,,,,,SportenNoSS,,5,,8
15,1670833518684,12/12/2022 08:25:18,1670833519227,1,12/12/2022 09:25:19,89483,9,task-cobv,,25868459,BLIND,7649917,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1280x720,1233x601,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,8,Test,buttonB,continue_button,126388.79999999702,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
16,1670833522323,12/12/2022 08:25:22,1670833522888,1,12/12/2022 09:25:22,89483,9,task-cobv,,25868459,BLIND,7649917,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1280x720,1233x601,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,9,Klaar4Experiment,advancementZone,continue_button,3650.3999999910593,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
17,1670833522426,12/12/2022 08:25:22,1670833522896,1,12/12/2022 09:25:22,89483,9,task-cobv,,25868459,BLIND,7649917,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 108.0.1462.46,1280x720,1233x601,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,,,END TASK,,,,,319087,,,,,0,1,0,,,,,,,,,,
1,1670833244368,12/12/2022 08:20:44,1670833240568,1,12/12/2022 09:20:40,89483,9,task-cobv,,25868465,BLIND,7649929,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x760,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1670833250509,12/12/2022 08:20:50,1670833246199,1,12/12/2022 09:20:46,89483,9,task-cobv,,25868465,BLIND,7649929,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x760,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,1,Intro,Zone2,continue_button,5410.799999952316,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
3,1670833299561,12/12/2022 08:21:39,1670833295804,1,12/12/2022 09:21:35,89483,9,task-cobv,,25868465,BLIND,7649929,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1536x760,Passed_Trials,Study1.2 - SportenIsGezondDiagrammingOnly,2,DiagrammingOnly,,,,,,,Passed_Intro,Passed_Practice,Passed_Trials,SportenDiagrammingOnly,SportenDiagrammingOnly,1,1,2,Text,advancementZone,continue_button,49582.10000002384,,,,,0,1,0,,,,,,SportenNoSS,,5,,8
