Experiment Simple_Date Class_ID Participant_Private_ID Condition Phase Trial Zone_Name DiagramStudySS
1 2022-06-03 8hl 6563286 SSI 2 Beton DiagBox3 NA
1 2022-06-03 8hl 6563286 SSI 2 Beton DiagBox4 NA
1 2022-06-03 8hl 6563286 SSI 2 Beton DiagBox1 NA
1 2022-06-03 8hl 6563286 SSI 2 Metro DiagBox1 NA
1 2022-06-03 8hl 6563286 SSI 2 Metro DiagBox3 NA
1 2022-06-03 8hl 6563286 SSI 2 Metro DiagBox4 NA
1 2022-06-03 8hl 6563286 SSI 2 Metro DiagBox2 NA
1 2022-06-03 8hl 6563287 No-SSI 1 Geld DiagBox2 NA
1 2022-06-03 8hl 6563287 No-SSI 1 Geld DiagBox3 NA
1 2022-06-03 8hl 6563287 No-SSI 1 Geld DiagBox4 NA
1 2022-06-03 8hl 6563287 No-SSI 1 Geld DiagBox1 NA
1 2022-06-03 8hl 6563287 No-SSI 1 Beton DiagBox2 NA
1 2022-06-03 8hl 6563287 No-SSI 1 Beton DiagBox3 NA
1 2022-06-03 8hl 6563287 No-SSI 1 Beton DiagBox4 NA
1 2022-06-03 8hl 6563287 No-SSI 1 Beton DiagBox1 NA
1 2022-06-03 8hl 6563287 No-SSI 1 Suez DiagBox2 NA
1 2022-06-03 8hl 6563287 No-SSI 1 Suez DiagBox3 NA
1 2022-06-03 8hl 6563287 No-SSI 1 Suez DiagBox4 NA
1 2022-06-03 8hl 6563287 No-SSI 1 Suez DiagBox1 NA
1 2022-06-03 8hl 6563287 No-SSI 2 Metro DiagBox1 NA
1 2022-06-03 8hl 6563287 No-SSI 2 Metro DiagBox3 NA
1 2022-06-03 8hl 6563287 No-SSI 2 Metro DiagBox4 NA
1 2022-06-03 8hl 6563287 No-SSI 2 Metro DiagBox2 NA
1 2022-06-03 8hl 6563287 No-SSI 2 Muziek DiagBox1 NA
1 2022-06-03 8hl 6563287 No-SSI 2 Muziek DiagBox2 NA
1 2022-06-03 8hl 6563287 No-SSI 2 Muziek DiagBox3 NA
1 2022-06-03 8hl 6563287 No-SSI 2 Muziek DiagBox4 NA
1 2022-06-03 8hl 6563287 No-SSI 2 Botox DiagBox3 NA
1 2022-06-03 8hl 6563287 No-SSI 2 Botox DiagBox4 NA
1 2022-06-03 8hl 6563287 No-SSI 2 Botox DiagBox2 NA
1 2022-06-03 8hl 6563287 No-SSI 2 Botox DiagBox1 NA
