Experiment Class_ID Participant_Private_ID Time_On_Task Condition Phase Trial Time_On_Trial Trial_Number Zone_Name Diagramming DiagramStudySS Correct_Points Element_Number Commission Word_Count
1 92J 6563274 28.85 SSI 2 Metro 504 6 DiagBox3 "er komt bijvoorbeeld meer plankton" No_SSI 1 3 0 5
1 92J 6563274 28.85 SSI 2 Metro 504 6 DiagBox4 "er komt meer leven" No_SSI 1 4 0 4
1 92J 6563274 28.85 SSI 2 Metro 504 6 DiagBox2 "het word een kunstmatig rif" No_SSI 1 2 0 5
1 92J 6563275 14.7833333333333 No-SSI 1 Metro 270 1 DiagBox1 "Andere manier van afval dumpen" No_SSI 1 1 0 5
1 92J 6563275 14.7833333333333 No-SSI 1 Metro 270 1 DiagBox3 "Meer soorten leefomgeving" No_SSI 0 2 1 3
1 92J 6563275 14.7833333333333 No-SSI 1 Metro 270 1 DiagBox4 "Meer soorten diertjes en plankton" No_SSI 1 3 0 5
1 92J 6563275 14.7833333333333 No-SSI 1 Metro 270 1 DiagBox2 "''Kunstmatig koraalrif''" No_SSI 1 2 0 2
1 92J 6563275 14.7833333333333 No-SSI 1 Beton 288 2 DiagBox2 "Betonkrimp door verwarming" No_SSI 1 1&3 0 3
1 92J 6563275 14.7833333333333 No-SSI 1 Beton 288 2 DiagBox3 "Beton krimpt en er komt ruimte vrij" No_SSI 1 3 0 7
1 92J 6563275 14.7833333333333 No-SSI 1 Beton 288 2 DiagBox4 "Liftschacht is te groot/klein" No_SSI 0 4 1 5
1 92J 6563275 14.7833333333333 No-SSI 1 Beton 288 2 DiagBox1 KOMO-Certificaat No_SSI 0 NA 1 2
1 92J 6563275 14.7833333333333 No-SSI 1 Muziek 301 3 DiagBox1 "Beter IQ/Beter onthouden" No_SSI 2 4&3 0 4
1 92J 6563275 14.7833333333333 No-SSI 1 Muziek 301 3 DiagBox2 "Hoger IQ" No_SSI 0 4 0 2
1 92J 6563275 14.7833333333333 No-SSI 1 Muziek 301 3 DiagBox3 "Personen met Alzheimer onthouden hun muziek die ze vroeger hebben gespeeld" No_SSI 0 3 0 11
1 92J 6563275 14.7833333333333 No-SSI 1 Muziek 301 3 DiagBox4 ? No_SSI 0 NA 0 0
1 92J 6563275 14.7833333333333 No-SSI 2 Botox 305 4 DiagBox3 "Je ziet er jonger uit" No_SSI 1 3 0 5
1 92J 6563275 14.7833333333333 No-SSI 2 Botox 305 4 DiagBox4 "Andere uitdrukking geven als dat je wil" No_SSI 0 4 1 7
1 92J 6563275 14.7833333333333 No-SSI 2 Botox 305 4 DiagBox2 "Geen rimpels op de plek van botox" No_SSI 1 2 0 7
1 92J 6563275 14.7833333333333 No-SSI 2 Botox 305 4 DiagBox1 "Dit kan ervoor zorgen dat je spieren niet meer werken rond de plek van de botox" No_SSI 1 1 0 16
1 92J 6563275 14.7833333333333 No-SSI 2 Geld 325 5 DiagBox2 "Vaak word je blij in het begin" No_SSI 1 2 0 7
1 92J 6563275 14.7833333333333 No-SSI 2 Geld 325 5 DiagBox3 "Dan koop je van alles en nog wat" No_SSI 0 NA 1 8
1 92J 6563275 14.7833333333333 No-SSI 2 Geld 325 5 DiagBox4 "Maar op lange tijd word je ongelukkig" No_SSI 1 4 0 7
1 92J 6563275 14.7833333333333 No-SSI 2 Geld 325 5 DiagBox1 "Familie maakt gelukkig, en maatschappij" No_SSI NA NA 0 5
1 92J 6563275 14.7833333333333 No-SSI 2 Suez 367 6 DiagBox2 ? No_SSI 0 NA 0 0
1 92J 6563275 14.7833333333333 No-SSI 2 Suez 367 6 DiagBox3 "Kanaal werd gegraven voor de handel" No_SSI 1 4 0 6
1 92J 6563275 14.7833333333333 No-SSI 2 Suez 367 6 DiagBox4 "Schepen kunnen nu door het suezkanaal voor handel" No_SSI 0 NA 1 8
1 92J 6563275 14.7833333333333 No-SSI 2 Suez 367 6 DiagBox1 "Geen makkelijke waterweg" No_SSI 1 2 0 3
1 92J 6563280 20.2666666666667 No-SSI 1 Beton 468 1 DiagBox2 "het moet lang drogen" No_SSI 0 2 1 4
1 92J 6563280 20.2666666666667 No-SSI 1 Beton 468 1 DiagBox3 "de liften zijn hierdoor gekrompen" No_SSI 0 4 1 5
1 92J 6563280 20.2666666666667 No-SSI 1 Beton 468 1 DiagBox4 "de liften worden kleiner" No_SSI 0 4 1 4
1 92J 6563280 20.2666666666667 No-SSI 1 Beton 468 1 DiagBox1 "de meeste gebouwen zijn van betton gemaakt" No_SSI NA NA 0 7
1 92J 6563280 20.2666666666667 No-SSI 1 Suez 468 2 DiagBox2 "afstand tussen de atlantische en de indische zee" No_SSI 0 1&0 1 8
1 92J 6563280 20.2666666666667 No-SSI 1 Suez 468 2 DiagBox3 "het wordt verkleind" No_SSI 0 0 1 3
1 92J 6563280 20.2666666666667 No-SSI 1 Suez 468 2 DiagBox4 "er komt een suezkanaal tussen" No_SSI 1 4 0 5
1 92J 6563280 20.2666666666667 No-SSI 1 Suez 468 2 DiagBox1 ? No_SSI 0 NA 0 0
1 92J 6563280 20.2666666666667 No-SSI 1 Botox 477 3 DiagBox3 "het kan er mooier uitzien" No_SSI 1 3 0 5
1 92J 6563280 20.2666666666667 No-SSI 1 Botox 477 3 DiagBox4 "lelijk uizien en dat je een andere gezichtsuitdrukking hebt." No_SSI 1 4 0 9
1 92J 6563280 20.2666666666667 No-SSI 1 Botox 477 3 DiagBox2 "het kan rimpels verdwijnen." No_SSI 1 2 0 4
1 92J 6563280 20.2666666666667 No-SSI 1 Botox 477 3 DiagBox1 "het kan helpen voor de huid" No_SSI 0 2 1 6
1 92J 6563280 20.2666666666667 No-SSI 2 Geld 414 4 DiagBox2 "ze moeten meer waarde ergens van hebben om gelukkig te zijn" No_SSI 1 4 0 11
1 92J 6563280 20.2666666666667 No-SSI 2 Geld 414 4 DiagBox3 "hierdoor zijn ze minder snel ergens gelukkig mee" No_SSI 0 Given 1 8
1 92J 6563280 20.2666666666667 No-SSI 2 Geld 414 4 DiagBox4 "armere mensen zijn gelukkig met kleine dingen" No_SSI 0 NA 1 7
1 92J 6563280 20.2666666666667 No-SSI 2 Geld 414 4 DiagBox1 "rijke mensen winnen vaak een loterij" No_SSI 0 NA 1 6
1 92J 6563280 20.2666666666667 No-SSI 2 Metro 385 5 DiagBox1 "vervuiling van de natuur" No_SSI 0 NA 1 4
1 92J 6563280 20.2666666666667 No-SSI 2 Metro 385 5 DiagBox3 "voordeel voor vissers" No_SSI 0 NA 1 3
1 92J 6563280 20.2666666666667 No-SSI 2 Metro 385 5 DiagBox4 "er komen veel baarsen opaf" No_SSI 1 4 0 5
1 92J 6563280 20.2666666666667 No-SSI 2 Metro 385 5 DiagBox2 "er kwam een rif van alle wagons" No_SSI 1 2 0 7
1 92J 6563280 20.2666666666667 No-SSI 2 Muziek 343 6 DiagBox1 "mensen vergeten geen muziek" No_SSI 0 NA 1 4
1 92J 6563280 20.2666666666667 No-SSI 2 Muziek 343 6 DiagBox2 "mensen met alzheimer vergeten niet wat ze geleerd hebben" No_SSI 0 NA 1 9
1 92J 6563280 20.2666666666667 No-SSI 2 Muziek 343 6 DiagBox3 "je onthoud het goed" No_SSI 1 3 0 4
1 92J 6563280 20.2666666666667 No-SSI 2 Muziek 343 6 DiagBox4 ? No_SSI 0 NA 0 0
1 92J 6563282 12.7833333333333 No-SSI 1 Botox 350 1 DiagBox3 "je lijkt jonger" No_SSI 1 3 0 3
