Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Diagram Box Rows,Diagram Box Require Response,TextTypes,ToetsTextArea
42,1654254500663,03/06/2022 11:08:20,1654254503647,2,03/06/2022 13:08:23,86110,10,task-kgro,,22261550,BLIND,6563288,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,14,1,1,RestudyDecisionBlock1,script,force_advance,30186.86200000008,,,,,0,1,0,,,,,,RestudyDecisionBlock1,,,,,
43,1654254510248,03/06/2022 11:08:30,1654254513358,2,03/06/2022 13:08:33,86110,10,task-kgro,,22261550,BLIND,6563288,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,37,1,1,JoL,One,response_button_text,9651.900001525879,,,1,1,0,1,0,,,,,4,SuezJoL,,,,,
44,1654254513434,03/06/2022 11:08:33,1654254516542,2,03/06/2022 13:08:36,86110,10,task-kgro,,22261550,BLIND,6563288,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,16,1,1,JoL,Three,response_button_text,3155.7999992370605,,,3,1,0,1,0,,,,,4,MuziekJoL,,,,,
45,1654254517564,03/06/2022 11:08:37,1654254520671,2,03/06/2022 13:08:40,86110,10,task-kgro,,22261550,BLIND,6563288,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,36,1,1,JoL,Three,response_button_text,4103.10000038147,,,3,1,0,1,0,,,,,4,BotoxJoL,,,,,
46,1654254522298,03/06/2022 11:08:42,1654254525405,2,03/06/2022 13:08:45,86110,10,task-kgro,,22261550,BLIND,6563288,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,18,1,1,IntroTests,NextButton,continue_button,4716.60000038147,,,,,0,1,0,,,,,,IntroTests,,,,,
47,1654254570887,03/06/2022 11:09:30,1654254573995,2,03/06/2022 13:09:33,86110,10,task-kgro,,22261550,BLIND,6563288,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,42,1,1,Test,buttonA,response_text_area,48542.79999923706,,,Omdat er nu meer land is,,0,1,0,,,,,5,SuezTest,,,,,8
48,1654254570938,03/06/2022 11:09:30,1654254573998,2,03/06/2022 13:09:33,86110,10,task-kgro,,22261550,BLIND,6563288,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,42,1,1,Test,buttonB,continue_button,48542.79999923706,,,,,0,1,0,,,,,5,SuezTest,,,,,8
49,1654254633254,03/06/2022 11:10:33,1654254636370,2,03/06/2022 13:10:36,86110,10,task-kgro,,22261550,BLIND,6563288,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,19,1,1,Test,buttonA,response_text_area,62348.40000152588,,,je kunt dingen van verleden herrineren door muziek. Beter worden in wiskunde. Je scoort hoger op een iqtest,,0,1,0,,,,,5,MuziekTest,,,,,8
50,1654254633326,03/06/2022 11:10:33,1654254636373,2,03/06/2022 13:10:36,86110,10,task-kgro,,22261550,BLIND,6563288,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,19,1,1,Test,buttonB,continue_button,62348.40000152588,,,,,0,1,0,,,,,5,MuziekTest,,,,,8
51,1654254673843,03/06/2022 11:11:13,1654254676961,2,03/06/2022 13:11:16,86110,10,task-kgro,,22261550,BLIND,6563288,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,21,1,1,Test,buttonA,response_text_area,40564.60000038147,,,Doordat ze dit in je lichaam spuiten zal je daar geen rimpels meer hebben of bij je ogen bijvoorbeeld niet meer heftig knipperen als je dat doet.,,0,1,0,,,,,5,BotoxTest,,,,,8
52,1654254673910,03/06/2022 11:11:13,1654254676964,2,03/06/2022 13:11:16,86110,10,task-kgro,,22261550,BLIND,6563288,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,21,1,1,Test,buttonB,continue_button,40564.60000038147,,,,,0,1,0,,,,,5,BotoxTest,,,,,8
53,1654254686037,03/06/2022 11:11:26,1654254689161,2,03/06/2022 13:11:29,86110,10,task-kgro,,22261550,BLIND,6563288,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,22,1,1,HalfwayScreenIntroTexts,NextButton,continue_button,12143.5,,,,,0,1,0,,,,,,HalfwayScreenIntroTexts,,,,,
54,1654254741104,03/06/2022 11:12:21,1654254744214,2,03/06/2022 13:12:24,86110,10,task-kgro,,22261550,BLIND,6563288,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,24,1,1,Text,advancementZone,continue_button,55029.10000038147,,,,,0,1,0,,,,,1,GeldText,,,,,
55,1654254784410,03/06/2022 11:13:04,1654254787521,2,03/06/2022 13:13:07,86110,10,task-kgro,,22261550,BLIND,6563288,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,3,1,1,Text,advancementZone,continue_button,43286.09999847412,,,,,0,1,0,,,,,1,BetonText,,,,,
56,1654254840587,03/06/2022 11:14:00,1654254843693,2,03/06/2022 13:14:03,86110,10,task-kgro,,22261550,BLIND,6563288,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,2,1,1,Text,advancementZone,continue_button,56138.80000114441,,,,,0,1,0,,,,,1,MetroText,,,,,
57,1654254846686,03/06/2022 11:14:06,1654254849793,2,03/06/2022 13:14:09,86110,10,task-kgro,,22261550,BLIND,6563288,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,26,2,1,IntroDiagramCompletion,NextButton,continue_button,6066.599998474121,,,,,0,1,0,,,,,,IntroDiagramCompletions,,,,,
58,1654254920748,03/06/2022 11:15:20,1654254923857,2,03/06/2022 13:15:23,86110,10,task-kgro,,22261550,BLIND,6563288,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,29,1,1,Diagramming,DiagBox2,response_text_area,74021.30000114441,,,?,,0,1,0,,,,,2,GeldDiagramCompletion,,5,,,
59,1654254920823,03/06/2022 11:15:20,1654254923861,2,03/06/2022 13:15:23,86110,10,task-kgro,,22261550,BLIND,6563288,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,29,1,1,Diagramming,DiagBox3,response_text_area,74021.30000114441,,,bekende mensen met veel geld waren niet gelukkig,,0,1,0,,,,,2,GeldDiagramCompletion,,5,,,
60,1654254920823,03/06/2022 11:15:20,1654254923861,2,03/06/2022 13:15:23,86110,10,task-kgro,,22261550,BLIND,6563288,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,29,1,1,Diagramming,DiagBox4,response_text_area,74021.30000114441,,,iemand won loterij maar was nog steeds niet gelukkig,,0,1,0,,,,,2,GeldDiagramCompletion,,5,,,
61,1654254920823,03/06/2022 11:15:20,1654254923862,2,03/06/2022 13:15:23,86110,10,task-kgro,,22261550,BLIND,6563288,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,29,1,1,Diagramming,DiagBox1,response_text_area,74021.30000114441,,,Mensen die rijk zijn zijn niet altijd gelukkig,,0,1,0,,,,,2,GeldDiagramCompletion,,5,,,
62,1654254920823,03/06/2022 11:15:20,1654254923863,2,03/06/2022 13:15:23,86110,10,task-kgro,,22261550,BLIND,6563288,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,29,1,1,Diagramming,Zone1,continue_button,74021.30000114441,,,,,0,1,0,,,,,2,GeldDiagramCompletion,,5,,,
63,1654254958827,03/06/2022 11:15:58,1654254961937,2,03/06/2022 13:16:01,86110,10,task-kgro,,22261550,BLIND,6563288,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,6,1,1,Diagramming,DiagBox2,response_text_area,38029.10000038147,,,moet wel geld voor zijn,,0,1,0,,,,,2,BetonDiagramCompletion,,5,,,
64,1654254958948,03/06/2022 11:15:58,1654254961942,2,03/06/2022 13:16:01,86110,10,task-kgro,,22261550,BLIND,6563288,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,6,1,1,Diagramming,DiagBox3,response_text_area,38029.10000038147,,,?,,0,1,0,,,,,2,BetonDiagramCompletion,,5,,,
65,1654254958948,03/06/2022 11:15:58,1654254961942,2,03/06/2022 13:16:01,86110,10,task-kgro,,22261550,BLIND,6563288,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,6,1,1,Diagramming,DiagBox4,response_text_area,38029.10000038147,,,in gebouw is iets kapot gegaan,,0,1,0,,,,,2,BetonDiagramCompletion,,5,,,
66,1654254958948,03/06/2022 11:15:58,1654254961943,2,03/06/2022 13:16:01,86110,10,task-kgro,,22261550,BLIND,6563288,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,6,1,1,Diagramming,DiagBox1,response_text_area,38029.10000038147,,,Verschillende gebouwen moeten opnieuw gemaakt worden,,0,1,0,,,,,2,BetonDiagramCompletion,,5,,,
67,1654254958948,03/06/2022 11:15:58,1654254961943,2,03/06/2022 13:16:01,86110,10,task-kgro,,22261550,BLIND,6563288,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,6,1,1,Diagramming,Zone1,continue_button,38029.10000038147,,,,,0,1,0,,,,,2,BetonDiagramCompletion,,5,,,
68,1654255036721,03/06/2022 11:17:16,1654255039811,2,03/06/2022 13:17:19,86110,10,task-kgro,,22261550,BLIND,6563288,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,7,1,1,Diagramming,DiagBox1,response_text_area,77768.80000114441,,,In de zee is het meestal rond 3 4 km diep,,0,1,0,,,,,2,MetroDiagramCompletion,,5,,,
69,1654255036788,03/06/2022 11:17:16,1654255039815,2,03/06/2022 13:17:19,86110,10,task-kgro,,22261550,BLIND,6563288,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1366x768,1366x625,Passed_Trials,Study1.2 - DelayedWithCueSelection,18,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,DelayedWithCueSelection,DelayedWithCueSelection,7,1,1,Diagramming,DiagBox3,response_text_area,77768.80000114441,,,plankton en andere beestjes zijn dicht bij kust verenigde staten,,0,1,0,,,,,2,MetroDiagramCompletion,,5,,,
