Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,TextTypes,ShowProgressBar
2,1654765735078,09/06/2022 09:08:55,1654765742317,2,09/06/2022 11:09:02,86110,10,task-qcms,,22371974,BLIND,6594487,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 102.0.1245.33,1920x1080,1920x961,Passed_Trials,AliceIntroVideos,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,AliceVideoWithoutCueSelection,AliceVideoWithoutCueSelection,1,1,1,Video,Zone1,content_video,183722.49999999997,,,,,0,1,0,,,,,,AliceDelayedWithoutCueSelectionVideo,,,
3,1654765735137,09/06/2022 09:08:55,1654765742330,2,09/06/2022 11:09:02,86110,10,task-qcms,,22371974,BLIND,6594487,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 102.0.1245.33,1920x1080,1920x961,Passed_Trials,AliceIntroVideos,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,AliceVideoWithoutCueSelection,,,END TASK,,,,,184693,,,,,0,1,0,,,,,,,,,
1,1654765537869,09/06/2022 09:05:37,1654765538092,2,09/06/2022 11:05:38,86110,10,task-qcms,,22371968,BLIND,6594485,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1920x1080,1920x969,Passed_Trials,AliceIntroVideos,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,AliceVideoWithoutCueSelection,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1654765722857,09/06/2022 09:08:42,1654765723052,2,09/06/2022 11:08:43,86110,10,task-qcms,,22371968,BLIND,6594485,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1920x1080,1920x969,Passed_Trials,AliceIntroVideos,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,AliceVideoWithoutCueSelection,AliceVideoWithoutCueSelection,1,1,1,Video,Zone1,content_video,184090.40000009537,,,,,0,1,0,,,,,,AliceDelayedWithoutCueSelectionVideo,,,
3,1654765722919,09/06/2022 09:08:42,1654765723062,2,09/06/2022 11:08:43,86110,10,task-qcms,,22371968,BLIND,6594485,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1920x1080,1920x969,Passed_Trials,AliceIntroVideos,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,AliceVideoWithoutCueSelection,,,END TASK,,,,,184970,,,,,0,1,0,,,,,,,,,
1,1654765516679,09/06/2022 09:05:16,1654765514798,2,09/06/2022 11:05:14,86110,10,task-qcms,,22371962,BLIND,6594463,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1920x1080,1920x937,Passed_Trials,AliceIntroVideos,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,AliceVideoWithoutCueSelection,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1654765700965,09/06/2022 09:08:20,1654765699081,2,09/06/2022 11:08:19,86110,10,task-qcms,,22371962,BLIND,6594463,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1920x1080,1920x937,Passed_Trials,AliceIntroVideos,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,AliceVideoWithoutCueSelection,AliceVideoWithoutCueSelection,1,1,1,Video,Zone1,content_video,183830.60000014305,,,,,0,1,0,,,,,,AliceDelayedWithoutCueSelectionVideo,,,
3,1654765701053,09/06/2022 09:08:21,1654765699092,2,09/06/2022 11:08:19,86110,10,task-qcms,,22371962,BLIND,6594463,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 102.0.0.0,1920x1080,1920x937,Passed_Trials,AliceIntroVideos,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,AliceVideoWithoutCueSelection,,,END TASK,,,,,184294,,,,,0,1,0,,,,,,,,,
1,1654765512477,09/06/2022 09:05:12,1654765513110,2,09/06/2022 11:05:13,86110,10,task-qcms,,22371961,BLIND,6594482,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 102.0.1245.33,1280x720,1280x601,Passed_Trials,AliceIntroVideos,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,AliceVideoWithoutCueSelection,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1654765698184,09/06/2022 09:08:18,1654765698795,2,09/06/2022 11:08:18,86110,10,task-qcms,,22371961,BLIND,6594482,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 102.0.1245.33,1280x720,1280x601,Passed_Trials,AliceIntroVideos,9,NoSelfScoringInstruction,,Passed_Intro,,Passed_Trials,,Passed_Practice,AliceVideoWithoutCueSelection,AliceVideoWithoutCueSelection,1,1,1,Video,Zone1,content_video,184245.29999995232,,,,,0,1,0,,,,,,AliceDelayedWithoutCueSelectionVideo,,,
